crypto,price_open,price_close,volume
BTC,455.822998046875,455.6709899902344,37209000
BTC,455.7590026855469,457.5679931640625,28514000
BTC,457.58599853515625,454.1629943847656,59171500
BTC,454.0090026855469,453.7829895019531,64100300
BTC,453.6910095214844,454.6189880371094,86850096
BTC,454.5239868164063,438.7149963378906,96027400
BTC,437.7929992675781,442.6759948730469,81987904
BTC,442.9660034179688,443.18798828125,42762300
BTC,443.2179870605469,439.322998046875,39657600
BTC,439.3479919433594,444.1549987792969,50582500
BTC,444.2909851074219,445.9809875488281,65783100
BTC,446.06201171875,449.5989990234375,65231000
BTC,449.6719970703125,453.3840026855469,65203800
BTC,453.52099609375,473.4639892578125,164780992
BTC,473.0289916992188,530.0399780273438,181199008
BTC,527.4769897460938,526.2329711914062,148736992
BTC,528.4710083007812,533.864013671875,87958704
BTC,534.1909790039062,531.385986328125,138450000
BTC,531.1069946289062,536.9199829101562,86061800
BTC,536.5150146484375,537.9719848632812,60378200
BTC,537.6820068359375,569.1939697265625,122020000
BTC,569.7050170898438,572.7269897460938,94925296
BTC,573.3079833984375,574.9769897460938,68874096
BTC,574.6019897460938,585.5369873046875,72138896
BTC,585.4450073242188,576.5969848632812,107770000
BTC,577.1669921875,581.64501953125,80265800
BTC,582.2030029296875,574.6300048828125,71301000
BTC,575.8369750976562,577.469970703125,66991900
BTC,578.6740112304688,606.7269897460938,82357000
BTC,609.6840209960938,672.7839965820312,277084992
BTC,671.6539916992188,704.3759765625,243295008
BTC,704.5040283203125,685.5590209960938,186694000
BTC,685.6849975585938,694.468994140625,99223800
BTC,696.5230102539062,766.3079833984375,271633984
BTC,768.4869995117188,748.9089965820312,363320992
BTC,748.7559814453125,756.2269897460938,252718000
BTC,756.68798828125,763.781005859375,136184992
BTC,763.927001953125,737.2260131835938,174511008
BTC,735.8829956054688,666.6519775390625,309944000
BTC,665.9149780273438,596.1160278320312,266392992
BTC,597.4429931640625,623.9769897460938,253462000
BTC,625.5750122070312,665.2990112304688,224316992
BTC,665.281005859375,665.1229858398438,126656000
BTC,665.9310302734375,629.3670043945312,109225000
BTC,629.3489990234375,655.2750244140625,122134000
BTC,658.1019897460938,647.0009765625,138384992
BTC,644.1220092773438,639.8900146484375,142456000
BTC,640.5910034179688,673.3369750976562,138980000
BTC,672.5150146484375,676.2960205078125,134431008
BTC,676.7340087890625,703.7020263671875,112354000
BTC,704.968017578125,658.6640014648438,129512000
BTC,658.8040161132812,683.6619873046875,92008400
BTC,683.208984375,670.6270141601562,130476000
BTC,670.4180297851562,677.3309936523438,134960992
BTC,678.0900268554688,640.56201171875,258091008
BTC,640.68798828125,666.5230102539062,141970000
BTC,666.3839721679688,650.9600219726562,180536000
BTC,650.5989990234375,649.3599853515625,102532000
BTC,648.4840087890625,647.6589965820312,107910000
BTC,648.2830200195312,664.551025390625,138172992
